Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 35V","C_0805_2012Metric",146.250000,-111.800000,180.000000,bottom
"C2","10uF 35V","C_0805_2012Metric",146.250000,-109.800000,180.000000,bottom
"C3","10uF 35V","C_0805_2012Metric",146.250000,-107.800000,180.000000,bottom
"C4","10uF 35V","C_0805_2012Metric",146.250000,-105.800000,180.000000,bottom
"C5","10uF 35V","C_0805_2012Metric",146.250000,-103.800000,180.000000,bottom
"C6","10uF 35V","C_0805_2012Metric",142.850000,-115.800000,0.000000,bottom
"C7","10uF 35V","C_0805_2012Metric",142.850000,-113.800000,0.000000,bottom
"C8","10uF 35V","C_0805_2012Metric",142.850000,-117.800000,0.000000,bottom
"C9","10uF 35V","C_0805_2012Metric",146.250000,-115.800000,180.000000,bottom
"C10","10uF 35V","C_0805_2012Metric",146.250000,-113.800000,180.000000,bottom
"Q1","PSMN3R3-80YSFX","LFPAK56",165.465000,-106.719148,180.000000,bottom
"Q2","PSMN3R3-80YSFX","LFPAK56",165.465000,-114.469148,180.000000,bottom
"Q3","PSMN3R3-80YSFX","LFPAK56",165.465000,-122.219148,180.000000,bottom
"Q4","PSMN3R3-80YSFX","LFPAK56",171.855000,-106.719148,90.000000,bottom
"Q5","PSMN3R3-80YSFX","LFPAK56",171.865000,-114.469148,90.000000,bottom
"Q6","PSMN3R3-80YSFX","LFPAK56",171.865000,-122.219148,90.000000,bottom
"C12","1uF 10V","C_0402_1005Metric",153.050000,-104.200000,90.000000,top
"C13","100nF 16V","C_0402_1005Metric",157.662500,-111.930000,0.000000,top
"C14","100nF 16V","C_0402_1005Metric",154.000000,-104.200000,90.000000,top
"C15","10uF 35V","C_0805_2012Metric",150.200000,-118.650000,180.000000,top
"C16","100nF 16V","C_0402_1005Metric",153.380000,-118.905000,-90.000000,top
"C17","1uF 50V","C_0603_1608Metric",157.750000,-114.550000,0.000000,top
"C18","100nF 50V","C_0402_1005Metric",146.450000,-110.750000,-90.000000,top
"C19","1uF 10V","C_0402_1005Metric",151.550000,-110.762500,-90.000000,top
"C20","1uF 50V","C_0603_1608Metric",160.300000,-117.050000,-90.000000,top
"C21","1uF 50V","C_0603_1608Metric",160.300000,-120.050000,-90.000000,top
"C22","100nF 50V","C_0402_1005Metric",150.137500,-113.750000,0.000000,top
"C23","1uF 10V","C_0402_1005Metric",151.975000,-113.750000,180.000000,top
"C24","100nF 16V","C_0402_1005Metric",163.380000,-113.350000,0.000000,top
"C25","100nF 16V","C_0402_1005Metric",161.592500,-112.300000,-90.000000,top
"D1","1N4148WT","D_SOD-523",158.011761,-113.108249,0.000000,top
"D2","1N4148WT","D_SOD-523",162.350000,-117.350000,0.000000,top
"D3","1N4148WT","D_SOD-523",162.350000,-118.800000,0.000000,top
"D4","LED GREEN","LED_0402_1005Metric",147.867500,-113.400000,0.000000,top
"J13","DEBUG","JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical",153.250000,-123.300000,180.000000,top
"R1","10k","R_0402_1005Metric",155.400000,-104.650000,0.000000,top
"R2","0R","R_0402_1005Metric",152.400000,-118.900000,-90.000000,top
"R3","10k","R_0402_1005Metric",149.250000,-109.000000,0.000000,top
"R4","100k","R_0402_1005Metric",156.200000,-112.800000,90.000000,top
"R5","20","R_0402_1005Metric",168.050000,-111.000000,90.000000,top
"R6","20","R_0402_1005Metric",167.800000,-116.400000,0.000000,top
"R7","20","R_0402_1005Metric",167.700000,-124.100000,0.000000,top
"R8","10k","R_0402_1005Metric",159.900000,-108.500000,90.000000,top
"R9","10k","R_0402_1005Metric",160.900000,-108.500000,90.000000,top
"R10","10k","R_0402_1005Metric",161.900000,-108.500000,90.000000,top
"R11","10k","R_0402_1005Metric",160.000000,-113.950000,-90.000000,top
"R12","10k","R_0402_1005Metric",164.277030,-117.200000,90.000000,top
"R13","10k","R_0402_1005Metric",164.277030,-119.550000,-90.000000,top
"R14","1k","R_0402_1005Metric",161.450000,-113.800000,0.000000,top
"R15","1k","R_0402_1005Metric",165.677030,-117.700000,0.000000,top
"R16","1k","R_0402_1005Metric",165.727030,-119.100000,0.000000,top
"R17","20","R_0402_1005Metric",169.000000,-111.000000,90.000000,top
"R18","20","R_0402_1005Metric",168.700000,-119.200000,90.000000,top
"R19","20","R_0402_1005Metric",167.700000,-125.200000,0.000000,top
"R20","100k 0.1%","R_0402_1005Metric",147.800000,-108.550000,90.000000,top
"R21","1m 3W","WSK1216",167.250000,-108.325000,90.000000,top
"R22","1k","R_0402_1005Metric",161.592500,-110.400000,-90.000000,top
"R23","2.2k","R_0402_1005Metric",146.450000,-112.650000,90.000000,top
"R24","10k 0.1%","R_0402_1005Metric",146.850000,-108.550000,-90.000000,top
"R25","100R","R_0402_1005Metric",150.950000,-120.150000,0.000000,top
"SW1","ISPMODE","TS2306A",145.275000,-107.875000,-90.000000,top
"U1","TPS7B92033DBVR","SOT-23-5",149.000000,-111.187500,0.000000,top
"U2","DRV8300N or FD6288 or equivalent","VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm",156.480000,-118.030000,0.000000,top
"U3","MCXA133VFM","HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",155.262500,-108.300000,-90.000000,top
"U4","TPS7B92050DBVR","SOT-23-5",151.062500,-115.925000,0.000000,top
"U5","BB-2020BGR-TRB","BB-2020BGR-TRB",147.100000,-116.950000,90.000000,top
"U6","INA180B1","SOT-23-5",164.180000,-111.150000,180.000000,top
